area_,crop,crop_year,district_name,production_,season,state_name
1254,Arecanut,2000,NICOBARS,2000,Kharif,Andaman and Nicobar Islands
2,Other Kharif pulses,2000,NICOBARS,1,Kharif,Andaman and Nicobar Islands
102,Rice,2000,NICOBARS,321,Kharif,Andaman and Nicobar Islands
176,Banana,2000,NICOBARS,641,Whole Year,Andaman and Nicobar Islands
720,Cashewnut,2000,NICOBARS,165,Whole Year,Andaman and Nicobar Islands
18168,Coconut,2000,NICOBARS,65100000,Whole Year,Andaman and Nicobar Islands
36,Dry ginger,2000,NICOBARS,100,Whole Year,Andaman and Nicobar Islands
1,Sugarcane,2000,NICOBARS,2,Whole Year,Andaman and Nicobar Islands
5,Sweet potato,2000,NICOBARS,15,Whole Year,Andaman and Nicobar Islands
40,Tapioca,2000,NICOBARS,169,Whole Year,Andaman and Nicobar Islands
1254,Arecanut,2001,NICOBARS,2061,Kharif,Andaman and Nicobar Islands
2,Other Kharif pulses,2001,NICOBARS,1,Kharif,Andaman and Nicobar Islands
83,Rice,2001,NICOBARS,300,Kharif,Andaman and Nicobar Islands
719,Cashewnut,2001,NICOBARS,192,Whole Year,Andaman and Nicobar Islands
18190,Coconut,2001,NICOBARS,64430000,Whole Year,Andaman and Nicobar Islands
46,Dry ginger,2001,NICOBARS,100,Whole Year,Andaman and Nicobar Islands
1,Sugarcane,2001,NICOBARS,1,Whole Year,Andaman and Nicobar Islands
11,Sweet potato,2001,NICOBARS,33,Whole Year,Andaman and Nicobar Islands
189.2,Rice,2002,NICOBARS,510.84,Kharif,Andaman and Nicobar Islands
1258,Arecanut,2002,NICOBARS,2083,Whole Year,Andaman and Nicobar Islands
213,Banana,2002,NICOBARS,1278,Whole Year,Andaman and Nicobar Islands
63,Black pepper,2002,NICOBARS,13.5,Whole Year,Andaman and Nicobar Islands
719,Cashewnut,2002,NICOBARS,208,Whole Year,Andaman and Nicobar Islands
18240,Coconut,2002,NICOBARS,67490000,Whole Year,Andaman and Nicobar Islands
413,Dry chillies,2002,NICOBARS,28.8,Whole Year,Andaman and Nicobar Islands
47.3,Dry ginger,2002,NICOBARS,133,Whole Year,Andaman and Nicobar Islands
5,Sugarcane,2002,NICOBARS,40,Whole Year,Andaman and Nicobar Islands
52,Rice,2003,NICOBARS,90.17,Kharif,Andaman and Nicobar Islands
1261,Arecanut,2003,NICOBARS,1525,Whole Year,Andaman and Nicobar Islands
266,Banana,2003,NICOBARS,1763,Whole Year,Andaman and Nicobar Islands
75.5,Black pepper,2003,NICOBARS,15.86,Whole Year,Andaman and Nicobar Islands
717,Cashewnut,2003,NICOBARS,208.5,Whole Year,Andaman and Nicobar Islands
18284.74,Coconut,2003,NICOBARS,68580000,Whole Year,Andaman and Nicobar Islands
60,Dry chillies,2003,NICOBARS,102,Whole Year,Andaman and Nicobar Islands
102,Dry ginger,2003,NICOBARS,326.4,Whole Year,Andaman and Nicobar Islands
4.2,other oilseeds,2003,NICOBARS,0.3,Whole Year,Andaman and Nicobar Islands
52.94,Rice,2004,NICOBARS,72.57,Kharif,Andaman and Nicobar Islands
1264.7,Arecanut,2004,NICOBARS,805.85,Whole Year,Andaman and Nicobar Islands
66.42,Banana,2004,NICOBARS,404.12,Whole Year,Andaman and Nicobar Islands
85,Black pepper,2004,NICOBARS,15.86,Whole Year,Andaman and Nicobar Islands
683.5,Cashewnut,2004,NICOBARS,197.9,Whole Year,Andaman and Nicobar Islands
18394.7,Coconut,2004,NICOBARS,52380000,Whole Year,Andaman and Nicobar Islands
60,Dry chillies,2004,NICOBARS,145.2,Whole Year,Andaman and Nicobar Islands
118,Dry ginger,2004,NICOBARS,366,Whole Year,Andaman and Nicobar Islands
1,other oilseeds,2004,NICOBARS,0.11,Whole Year,Andaman and Nicobar Islands
2.09,Rice,2005,NICOBARS,12.06,Kharif,Andaman and Nicobar Islands
795.67,Arecanut,2005,NICOBARS,NA,Whole Year,Andaman and Nicobar Islands
22,Banana,2005,NICOBARS,582,Whole Year,Andaman and Nicobar Islands
41,Black pepper,2005,NICOBARS,0.1,Whole Year,Andaman and Nicobar Islands
450,Cashewnut,2005,NICOBARS,55.8,Whole Year,Andaman and Nicobar Islands
13876.57,Coconut,2005,NICOBARS,52030000,Whole Year,Andaman and Nicobar Islands
17,Dry chillies,2005,NICOBARS,NA,Whole Year,Andaman and Nicobar Islands
10,Turmeric,2005,NICOBARS,70,Whole Year,Andaman and Nicobar Islands
896,Arecanut,2006,NICOBARS,477.6,Whole Year,Andaman and Nicobar Islands
198,Banana,2006,NICOBARS,976,Whole Year,Andaman and Nicobar Islands
22.16,Black pepper,2006,NICOBARS,0.68,Whole Year,Andaman and Nicobar Islands
450,Cashewnut,2006,NICOBARS,85.13,Whole Year,Andaman and Nicobar Islands
14358,Coconut,2006,NICOBARS,59370000,Whole Year,Andaman and Nicobar Islands
3,Dry chillies,2006,NICOBARS,9,Whole Year,Andaman and Nicobar Islands
6,Dry ginger,2006,NICOBARS,21,Whole Year,Andaman and Nicobar Islands
0.2,Sugarcane,2006,NICOBARS,0.5,Whole Year,Andaman and Nicobar Islands
18,Sweet potato,2006,NICOBARS,86,Whole Year,Andaman and Nicobar Islands
52.03,Tapioca,2006,NICOBARS,450,Whole Year,Andaman and Nicobar Islands
2.5,Turmeric,2006,NICOBARS,1.03,Whole Year,Andaman and Nicobar Islands
3.5,Rice,2010,NICOBARS,10,Autumn,Andaman and Nicobar Islands
13.4,Sugarcane,2010,NICOBARS,41.75,Autumn,Andaman and Nicobar Islands
944,Arecanut,2010,NICOBARS,1610,Rabi,Andaman and Nicobar Islands
23,Black pepper,2010,NICOBARS,8.5,Rabi,Andaman and Nicobar Islands
1000.5,Cashewnut,2010,NICOBARS,260.5,Rabi,Andaman and Nicobar Islands
12,Dry chillies,2010,NICOBARS,25,Rabi,Andaman and Nicobar Islands
7,Dry ginger,2010,NICOBARS,9.64,Rabi,Andaman and Nicobar Islands
3.84,Maize,2010,NICOBARS,18.22,Rabi,Andaman and Nicobar Islands
1.5,Moong(Green Gram),2010,NICOBARS,1.1,Rabi,Andaman and Nicobar Islands
22,Sweet potato,2010,NICOBARS,208,Rabi,Andaman and Nicobar Islands
2,Turmeric,2010,NICOBARS,0.5,Rabi,Andaman and Nicobar Islands
1.5,Urad,2010,NICOBARS,1.16,Rabi,Andaman and Nicobar Islands
593,Banana,2010,NICOBARS,3425,Whole Year,Andaman and Nicobar Islands
14560,Coconut,2010,NICOBARS,71300000,Whole Year,Andaman and Nicobar Islands
69,Tapioca,2010,NICOBARS,575,Whole Year,Andaman and Nicobar Islands
3100,Arecanut,2000,NORTH AND MIDDLE ANDAMAN,5200,Kharif,Andaman and Nicobar Islands
668,Other Kharif pulses,2000,NORTH AND MIDDLE ANDAMAN,448,Kharif,Andaman and Nicobar Islands
10779,Rice,2000,NORTH AND MIDDLE ANDAMAN,31863,Kharif,Andaman and Nicobar Islands
1531,Banana,2000,NORTH AND MIDDLE ANDAMAN,12073,Whole Year,Andaman and Nicobar Islands
80,Cashewnut,2000,NORTH AND MIDDLE ANDAMAN,54,Whole Year,Andaman and Nicobar Islands
6992,Coconut,2000,NORTH AND MIDDLE ANDAMAN,23900000,Whole Year,Andaman and Nicobar Islands
352,Dry ginger,2000,NORTH AND MIDDLE ANDAMAN,1120,Whole Year,Andaman and Nicobar Islands
133,other oilseeds,2000,NORTH AND MIDDLE ANDAMAN,55,Whole Year,Andaman and Nicobar Islands
141,Sugarcane,2000,NORTH AND MIDDLE ANDAMAN,3736,Whole Year,Andaman and Nicobar Islands
78,Sweet potato,2000,NORTH AND MIDDLE ANDAMAN,843,Whole Year,Andaman and Nicobar Islands
160,Tapioca,2000,NORTH AND MIDDLE ANDAMAN,2108,Whole Year,Andaman and Nicobar Islands
3100,Arecanut,2001,NORTH AND MIDDLE ANDAMAN,5239,Kharif,Andaman and Nicobar Islands
418,Other Kharif pulses,2001,NORTH AND MIDDLE ANDAMAN,199,Kharif,Andaman and Nicobar Islands
9718,Rice,2001,NORTH AND MIDDLE ANDAMAN,27033,Kharif,Andaman and Nicobar Islands
81,Cashewnut,2001,NORTH AND MIDDLE ANDAMAN,33,Whole Year,Andaman and Nicobar Islands
7015,Coconut,2001,NORTH AND MIDDLE ANDAMAN,25250000,Whole Year,Andaman and Nicobar Islands
344,Dry ginger,2001,NORTH AND MIDDLE ANDAMAN,1124,Whole Year,Andaman and Nicobar Islands
81,Sugarcane,2001,NORTH AND MIDDLE ANDAMAN,2379,Whole Year,Andaman and Nicobar Islands
100,Sweet potato,2001,NORTH AND MIDDLE ANDAMAN,5,Whole Year,Andaman and Nicobar Islands
6854.3,Rice,2006,NORTH AND MIDDLE ANDAMAN,18995.62,Kharif,Andaman and Nicobar Islands
1160,Arecanut,2006,NORTH AND MIDDLE ANDAMAN,3011.7,Whole Year,Andaman and Nicobar Islands
1254,Arecanut,2000,NICOBARS,2000,Kharif,Andaman and Nicobar Islands
2,Other Kharif pulses,2000,NICOBARS,1,Kharif,Andaman and Nicobar Islands
102,Rice,2000,NICOBARS,321,Kharif,Andaman and Nicobar Islands
176,Banana,2000,NICOBARS,641,Whole Year,Andaman and Nicobar Islands
720,Cashewnut,2000,NICOBARS,165,Whole Year,Andaman and Nicobar Islands
18168,Coconut,2000,NICOBARS,65100000,Whole Year,Andaman and Nicobar Islands
36,Dry ginger,2000,NICOBARS,100,Whole Year,Andaman and Nicobar Islands
1,Sugarcane,2000,NICOBARS,2,Whole Year,Andaman and Nicobar Islands
5,Sweet potato,2000,NICOBARS,15,Whole Year,Andaman and Nicobar Islands
40,Tapioca,2000,NICOBARS,169,Whole Year,Andaman and Nicobar Islands
1254,Arecanut,2001,NICOBARS,2061,Kharif,Andaman and Nicobar Islands
2,Other Kharif pulses,2001,NICOBARS,1,Kharif,Andaman and Nicobar Islands
83,Rice,2001,NICOBARS,300,Kharif,Andaman and Nicobar Islands
719,Cashewnut,2001,NICOBARS,192,Whole Year,Andaman and Nicobar Islands
18190,Coconut,2001,NICOBARS,64430000,Whole Year,Andaman and Nicobar Islands
46,Dry ginger,2001,NICOBARS,100,Whole Year,Andaman and Nicobar Islands
1,Sugarcane,2001,NICOBARS,1,Whole Year,Andaman and Nicobar Islands
11,Sweet potato,2001,NICOBARS,33,Whole Year,Andaman and Nicobar Islands
189.2,Rice,2002,NICOBARS,510.84,Kharif,Andaman and Nicobar Islands
1258,Arecanut,2002,NICOBARS,2083,Whole Year,Andaman and Nicobar Islands
213,Banana,2002,NICOBARS,1278,Whole Year,Andaman and Nicobar Islands
63,Black pepper,2002,NICOBARS,13.5,Whole Year,Andaman and Nicobar Islands
719,Cashewnut,2002,NICOBARS,208,Whole Year,Andaman and Nicobar Islands
18240,Coconut,2002,NICOBARS,67490000,Whole Year,Andaman and Nicobar Islands
413,Dry chillies,2002,NICOBARS,28.8,Whole Year,Andaman and Nicobar Islands
47.3,Dry ginger,2002,NICOBARS,133,Whole Year,Andaman and Nicobar Islands
5,Sugarcane,2002,NICOBARS,40,Whole Year,Andaman and Nicobar Islands
52,Rice,2003,NICOBARS,90.17,Kharif,Andaman and Nicobar Islands
1261,Arecanut,2003,NICOBARS,1525,Whole Year,Andaman and Nicobar Islands
266,Banana,2003,NICOBARS,1763,Whole Year,Andaman and Nicobar Islands
75.5,Black pepper,2003,NICOBARS,15.86,Whole Year,Andaman and Nicobar Islands
717,Cashewnut,2003,NICOBARS,208.5,Whole Year,Andaman and Nicobar Islands
18284.74,Coconut,2003,NICOBARS,68580000,Whole Year,Andaman and Nicobar Islands
60,Dry chillies,2003,NICOBARS,102,Whole Year,Andaman and Nicobar Islands
102,Dry ginger,2003,NICOBARS,326.4,Whole Year,Andaman and Nicobar Islands
4.2,other oilseeds,2003,NICOBARS,0.3,Whole Year,Andaman and Nicobar Islands
52.94,Rice,2004,NICOBARS,72.57,Kharif,Andaman and Nicobar Islands
1264.7,Arecanut,2004,NICOBARS,805.85,Whole Year,Andaman and Nicobar Islands
66.42,Banana,2004,NICOBARS,404.12,Whole Year,Andaman and Nicobar Islands
85,Black pepper,2004,NICOBARS,15.86,Whole Year,Andaman and Nicobar Islands
683.5,Cashewnut,2004,NICOBARS,197.9,Whole Year,Andaman and Nicobar Islands
18394.7,Coconut,2004,NICOBARS,52380000,Whole Year,Andaman and Nicobar Islands
60,Dry chillies,2004,NICOBARS,145.2,Whole Year,Andaman and Nicobar Islands
118,Dry ginger,2004,NICOBARS,366,Whole Year,Andaman and Nicobar Islands
1,other oilseeds,2004,NICOBARS,0.11,Whole Year,Andaman and Nicobar Islands
2.09,Rice,2005,NICOBARS,12.06,Kharif,Andaman and Nicobar Islands
795.67,Arecanut,2005,NICOBARS,NA,Whole Year,Andaman and Nicobar Islands
22,Banana,2005,NICOBARS,582,Whole Year,Andaman and Nicobar Islands
41,Black pepper,2005,NICOBARS,0.1,Whole Year,Andaman and Nicobar Islands
450,Cashewnut,2005,NICOBARS,55.8,Whole Year,Andaman and Nicobar Islands
13876.57,Coconut,2005,NICOBARS,52030000,Whole Year,Andaman and Nicobar Islands
17,Dry chillies,2005,NICOBARS,NA,Whole Year,Andaman and Nicobar Islands
10,Turmeric,2005,NICOBARS,70,Whole Year,Andaman and Nicobar Islands
896,Arecanut,2006,NICOBARS,477.6,Whole Year,Andaman and Nicobar Islands
198,Banana,2006,NICOBARS,976,Whole Year,Andaman and Nicobar Islands
22.16,Black pepper,2006,NICOBARS,0.68,Whole Year,Andaman and Nicobar Islands
450,Cashewnut,2006,NICOBARS,85.13,Whole Year,Andaman and Nicobar Islands
14358,Coconut,2006,NICOBARS,59370000,Whole Year,Andaman and Nicobar Islands
3,Dry chillies,2006,NICOBARS,9,Whole Year,Andaman and Nicobar Islands
6,Dry ginger,2006,NICOBARS,21,Whole Year,Andaman and Nicobar Islands
0.2,Sugarcane,2006,NICOBARS,0.5,Whole Year,Andaman and Nicobar Islands
18,Sweet potato,2006,NICOBARS,86,Whole Year,Andaman and Nicobar Islands
52.03,Tapioca,2006,NICOBARS,450,Whole Year,Andaman and Nicobar Islands
2.5,Turmeric,2006,NICOBARS,1.03,Whole Year,Andaman and Nicobar Islands
3.5,Rice,2010,NICOBARS,10,Autumn,Andaman and Nicobar Islands
13.4,Sugarcane,2010,NICOBARS,41.75,Autumn,Andaman and Nicobar Islands
944,Arecanut,2010,NICOBARS,1610,Rabi,Andaman and Nicobar Islands
23,Black pepper,2010,NICOBARS,8.5,Rabi,Andaman and Nicobar Islands
1000.5,Cashewnut,2010,NICOBARS,260.5,Rabi,Andaman and Nicobar Islands
12,Dry chillies,2010,NICOBARS,25,Rabi,Andaman and Nicobar Islands
7,Dry ginger,2010,NICOBARS,9.64,Rabi,Andaman and Nicobar Islands
3.84,Maize,2010,NICOBARS,18.22,Rabi,Andaman and Nicobar Islands
1.5,Moong(Green Gram),2010,NICOBARS,1.1,Rabi,Andaman and Nicobar Islands
22,Sweet potato,2010,NICOBARS,208,Rabi,Andaman and Nicobar Islands
2,Turmeric,2010,NICOBARS,0.5,Rabi,Andaman and Nicobar Islands
1.5,Urad,2010,NICOBARS,1.16,Rabi,Andaman and Nicobar Islands
593,Banana,2010,NICOBARS,3425,Whole Year,Andaman and Nicobar Islands
14560,Coconut,2010,NICOBARS,71300000,Whole Year,Andaman and Nicobar Islands
69,Tapioca,2010,NICOBARS,575,Whole Year,Andaman and Nicobar Islands
3100,Arecanut,2000,NORTH AND MIDDLE ANDAMAN,5200,Kharif,Andaman and Nicobar Islands
668,Other Kharif pulses,2000,NORTH AND MIDDLE ANDAMAN,448,Kharif,Andaman and Nicobar Islands
10779,Rice,2000,NORTH AND MIDDLE ANDAMAN,31863,Kharif,Andaman and Nicobar Islands
1531,Banana,2000,NORTH AND MIDDLE ANDAMAN,12073,Whole Year,Andaman and Nicobar Islands
80,Cashewnut,2000,NORTH AND MIDDLE ANDAMAN,54,Whole Year,Andaman and Nicobar Islands
6992,Coconut,2000,NORTH AND MIDDLE ANDAMAN,23900000,Whole Year,Andaman and Nicobar Islands
352,Dry ginger,2000,NORTH AND MIDDLE ANDAMAN,1120,Whole Year,Andaman and Nicobar Islands
133,other oilseeds,2000,NORTH AND MIDDLE ANDAMAN,55,Whole Year,Andaman and Nicobar Islands
141,Sugarcane,2000,NORTH AND MIDDLE ANDAMAN,3736,Whole Year,Andaman and Nicobar Islands
78,Sweet potato,2000,NORTH AND MIDDLE ANDAMAN,843,Whole Year,Andaman and Nicobar Islands
160,Tapioca,2000,NORTH AND MIDDLE ANDAMAN,2108,Whole Year,Andaman and Nicobar Islands
3100,Arecanut,2001,NORTH AND MIDDLE ANDAMAN,5239,Kharif,Andaman and Nicobar Islands
418,Other Kharif pulses,2001,NORTH AND MIDDLE ANDAMAN,199,Kharif,Andaman and Nicobar Islands
9718,Rice,2001,NORTH AND MIDDLE ANDAMAN,27033,Kharif,Andaman and Nicobar Islands
81,Cashewnut,2001,NORTH AND MIDDLE ANDAMAN,33,Whole Year,Andaman and Nicobar Islands
7015,Coconut,2001,NORTH AND MIDDLE ANDAMAN,25250000,Whole Year,Andaman and Nicobar Islands
344,Dry ginger,2001,NORTH AND MIDDLE ANDAMAN,1124,Whole Year,Andaman and Nicobar Islands
81,Sugarcane,2001,NORTH AND MIDDLE ANDAMAN,2379,Whole Year,Andaman and Nicobar Islands
100,Sweet potato,2001,NORTH AND MIDDLE ANDAMAN,5,Whole Year,Andaman and Nicobar Islands
6854.3,Rice,2006,NORTH AND MIDDLE ANDAMAN,18995.62,Kharif,Andaman and Nicobar Islands
1160,Arecanut,2006,NORTH AND MIDDLE ANDAMAN,3011.7,Whole Year,Andaman and Nicobar Islands
